Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,220.726,-78.613,90.0,top
C2,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,234.823,-63.754,90.0,top
C3,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,234.315,-75.438,90.0,top
C4,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,222.123,-71.12,-90.0,top
C5,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,225.044,-63.246,-90.0,top
C6,1µF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,221.107,-65.278,0.0,top
C7,1µF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,221.107,-59.182,0.0,top
D5,1N4148WS,D_SOD-323_HandSoldering,223.59944,-90.368927,-90.0,top
D6,1N4148WS,D_SOD-323_HandSoldering,223.59944,-95.956927,-90.0,top
D7,1N4148WS,D_SOD-323_HandSoldering,223.59944,-101.544927,-90.0,top
D9,1N4148WS,D_SOD-323_HandSoldering,227.66344,-90.368927,-90.0,top
D10,1N4148WS,D_SOD-323_HandSoldering,227.66344,-95.956927,-90.0,top
D11,1N4148WS,D_SOD-323_HandSoldering,227.66344,-101.544927,-90.0,top
D12,1N4148WS,D_SOD-323_HandSoldering,227.66344,-107.132927,-90.0,top
D14,1N4148WS,D_SOD-323_HandSoldering,233.75944,-90.368927,-90.0,top
D15,1N4148WS,D_SOD-323_HandSoldering,233.75944,-95.956927,-90.0,top
D16,1N4148WS,D_SOD-323_HandSoldering,233.75944,-101.544927,-90.0,top
D17,1N4148WS,D_SOD-323_HandSoldering,233.75944,-107.132927,-90.0,top
D19,1N4148WS,D_SOD-323_HandSoldering,225.63144,-90.368927,-90.0,top
D20,1N4148WS,D_SOD-323_HandSoldering,225.63144,-95.956927,-90.0,top
D21,1N4148WS,D_SOD-323_HandSoldering,225.63144,-101.544927,-90.0,top
D23,1N4148WS,D_SOD-323_HandSoldering,229.69544,-90.368927,-90.0,top
D24,1N4148WS,D_SOD-323_HandSoldering,229.69544,-95.956927,-90.0,top
D25,1N4148WS,D_SOD-323_HandSoldering,229.69544,-101.544927,-90.0,top
D26,1N4148WS,D_SOD-323_HandSoldering,229.69544,-107.132927,-90.0,top
D33,1N4148WS,D_SOD-323_HandSoldering,231.72744,-90.368927,-90.0,top
D34,1N4148WS,D_SOD-323_HandSoldering,231.72744,-95.956927,-90.0,top
D35,1N4148WS,D_SOD-323_HandSoldering,231.72744,-101.544927,-90.0,top
D36,1N4148WS,D_SOD-323_HandSoldering,231.72744,-107.132927,-90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,224.79,-50.8,180.0,top
J2,AudioJack4,TRRS-PJ-320A-no-Fmask,237.363,-48.26,0.0,top
R1,5.1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,223.13,-74.422,180.0,top
R6,5.1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,224.155,-58.674,-90.0,top
R7,5.1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,228.727,-58.674,-90.0,top
SW1,BOOT,SW_SPST_CK_RS282G05A3,230.759,-81.534,90.0,top
SW2,RESET,SW_SPST_CK_RS282G05A3,224.663,-81.534,90.0,top
U1,STM32,LQFP-48_7x7mm_P0.5mm,229.743,-69.342,90.0,top
U2,LDO,SOT-23,221.107,-62.23,90.0,top
