Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.457,-102.362,-90.0,top
C2,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,86.614,-81.28,-90.0,top
C3,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,96.266,-81.534,90.0,top
C4,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.044,-92.202,0.0,top
C5,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,86.614,-93.98,-90.0,top
C6,1µF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.33,-83.312,0.0,top
C7,1µF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.33,-77.216,0.0,top
D5,1N4148WS,D_SOD-323_HandSoldering,97.917,-108.204,-90.0,top
D6,1N4148WS,D_SOD-323_HandSoldering,97.917,-113.792,-90.0,top
D7,1N4148WS,D_SOD-323_HandSoldering,97.917,-119.38,-90.0,top
D9,1N4148WS,D_SOD-323_HandSoldering,93.853,-108.204,-90.0,top
D10,1N4148WS,D_SOD-323_HandSoldering,93.853,-113.792,-90.0,top
D11,1N4148WS,D_SOD-323_HandSoldering,93.853,-119.38,-90.0,top
D12,1N4148WS,D_SOD-323_HandSoldering,93.853,-124.968,-90.0,top
D14,1N4148WS,D_SOD-323_HandSoldering,87.757,-108.204,-90.0,top
D15,1N4148WS,D_SOD-323_HandSoldering,87.757,-113.792,-90.0,top
D16,1N4148WS,D_SOD-323_HandSoldering,87.757,-119.38,-90.0,top
D17,1N4148WS,D_SOD-323_HandSoldering,87.757,-124.968,-90.0,top
D19,1N4148WS,D_SOD-323_HandSoldering,95.885,-108.204,-90.0,top
D20,1N4148WS,D_SOD-323_HandSoldering,95.885,-113.792,-90.0,top
D21,1N4148WS,D_SOD-323_HandSoldering,95.885,-119.38,-90.0,top
D23,1N4148WS,D_SOD-323_HandSoldering,91.821,-108.204,-90.0,top
D24,1N4148WS,D_SOD-323_HandSoldering,91.821,-113.792,-90.0,top
D25,1N4148WS,D_SOD-323_HandSoldering,91.821,-119.38,-90.0,top
D26,1N4148WS,D_SOD-323_HandSoldering,91.821,-124.968,-90.0,top
D33,1N4148WS,D_SOD-323_HandSoldering,89.789,-108.204,-90.0,top
D34,1N4148WS,D_SOD-323_HandSoldering,89.789,-113.792,-90.0,top
D35,1N4148WS,D_SOD-323_HandSoldering,89.789,-119.38,-90.0,top
D36,1N4148WS,D_SOD-323_HandSoldering,89.789,-124.968,-90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,96.774,-68.707,180.0,top
J2,AudioJack4,TRRS-PJ-320A-no-Fmask,84.201,-66.167,0.0,top
R1,5.1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.457,-96.774,-90.0,top
R6,5.1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,92.71,-76.708,-90.0,top
R7,5.1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,97.282,-76.708,-90.0,top
SW1,BOOT,SW_SPST_CK_RS282G05A3,96.774,-99.568,-90.0,top
SW2,RESET,SW_SPST_CK_RS282G05A3,90.678,-99.568,90.0,top
U1,STM32,LQFP-48_7x7mm_P0.5mm,91.694,-87.376,90.0,top
U2,LDO,SOT-23,100.33,-80.264,90.0,top
